"dates","conf"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,3
2020-03-06,15
2020-03-07,15
2020-03-08,49
2020-03-09,55
2020-03-10,59
2020-03-11,60
2020-03-12,67
2020-03-13,80
2020-03-14,109
2020-03-15,110
2020-03-16,150
2020-03-17,196
2020-03-18,196
2020-03-19,256
2020-03-20,285
2020-03-21,294
2020-03-22,327
2020-03-23,366
2020-03-24,402
2020-03-25,456
2020-03-26,495
2020-03-27,536
2020-03-28,576
2020-03-29,609
2020-03-30,656
2020-03-31,710
2020-04-01,779
2020-04-02,865
2020-04-03,985
2020-04-04,1070
2020-04-05,1173
2020-04-06,1322
2020-04-07,1450
2020-04-08,1560
2020-04-09,1699
2020-04-10,1794
2020-04-11,1939
2020-04-12,2065
2020-04-13,2190
